comparison,tracklet_key,source_frame_index,frame_token,left_iou,right_iou,iou_delta_left_minus_right,left_center_error,right_center_error,center_error_delta_left_minus_right,center_error_gain_left_over_right,left_empty_fallback,right_empty_fallback,left_path_center_gap,right_path_center_gap
true:fixed,8ce4fe54af77467d90c840465f69677f,0,274b134fb2324486ae253eb6e24f900d,1.0000000000000582,1.0000000000000582,0.0,0.0,0.0,0.0,0.0,False,False,,
true:fixed,8ce4fe54af77467d90c840465f69677f,1,a977b0e797694036a9c40ab80f9d0ebc,0.9833062903637779,0.9833062903637779,0.0,0.01920937271231659,0.01920937271231659,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,2,bfbb3ba599ea450181210aa6000bad7f,0.966242600221573,0.966242600221573,0.0,0.03894868418832327,0.03894868418832327,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,3,3e92d615685942dfab6edb5a0a7678e6,0.9504042468442836,0.9504042468442836,0.0,0.05815496539415917,0.05815496539415917,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,4,5b954ca864914a37aaaf0879249ace6a,0.9348811092979189,0.9348811092979189,0.0,0.07736278174934802,0.07736278174934802,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,5,9e10d5419ffa43ce9f70766b4a5a0292,0.9195112764778942,0.9195112764778942,0.0,0.09724710792613339,0.09724710792613339,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,6,12c5d6c3dc424561b9192b76b45af6fd,0.9044441930159578,0.9044441930159578,0.0,0.11645600027478475,0.11645600027478475,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,7,882819f68f5e4be698694e673c71c6ab,0.8894572183802109,0.8894572183802109,0.0,0.13619104228987347,0.13619104228987347,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,8,f6bf5986ca8a49c082c0e4d892de767c,0.8751226479166554,0.8751226479166554,0.0,0.15539948519858146,0.15539948519858146,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,9,69e5c0a974344a2b89e9e351a5b79461,0.8610614214077082,0.8610614214077082,0.0,0.1746081326857042,0.1746081326857042,0.0,0.0,True,True,,
true:fixed,8ce4fe54af77467d90c840465f69677f,10,519f1a02f21d43699ca1ada7ffd38726,0.8369798525785174,0.8369798525785174,0.0,0.2144277828632849,0.2144277828632849,0.0,0.0,False,False,,
true:fixed,8ce4fe54af77467d90c840465f69677f,11,c71884fb34d046258c12cf018513d8cc,0.8104409372756066,0.8104409372756066,0.0,0.2630681521324025,0.2630681521324025,0.0,0.0,False,False,,
true:fixed,8ce4fe54af77467d90c840465f69677f,12,ee7d01fd902d4185a54112e1f1210e41,0.7861704711574695,0.7861704711574695,0.0,0.306710462496397,0.306710462496397,0.0,0.0,False,False,,
true:fixed,8ce4fe54af77467d90c840465f69677f,13,df7d0426da5346deae21136ea3cba58b,0.7660720181421797,0.7660720181421797,0.0,0.34495842546991123,0.34495842546991123,0.0,0.0,False,False,,
